time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.29445e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.713443	0.587138	7.11917	-1.1822e-08	-5.45755e-09	radar	73.2904	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16111	0.493363	7.12187	-0.0686096	-0.0082511	lidar	0.182508	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27619	0.513556	7.11757	0.189897	0.0383046	radar	1.80944	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61443	0.594498	7.13848	0.244819	0.0531081	lidar	0.196193	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82362	0.569862	6.26994	0.0942664	-0.0539527	radar	4.11263	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15236	0.616011	6.28592	0.108959	-0.0264714	lidar	0.163496	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36781	0.646932	5.48921	0.100851	-0.14358	radar	6.31559	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64276	0.671205	5.49466	0.0900224	-0.158773	lidar	0.0108437	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91035	0.661726	5.42314	0.0351618	-0.346803	radar	0.254462	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14267	0.660609	5.37719	0.0190956	-0.335119	lidar	0.996361	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43208	0.552586	5.44273	-0.14719	-0.834203	radar	1.67577	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73771	0.436189	5.53962	-0.283901	-1.12434	lidar	2.4383	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01647	0.521339	5.53209	-0.137833	-0.556054	radar	3.95268	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.2904	0.51342	5.50466	-0.131605	-0.471403	lidar	0.305879	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5472	0.557207	5.34377	-0.0799606	-0.299302	radar	1.57172	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
